file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LoggingHandler.java,net.bull.javamelody.LoggingHandler,class,2,8,6,2,19,2,0,19,53,0.87878793,0.0,0.0,11,4,4,1,0,6,11,0,0,0,3,3,0,3,0,0,3,0,7,62,4,3,1,1,0,2,5,4,1,4,2,0,0,0,58,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\web\html\HtmlCounterRequestGraphReport.java,net.bull.javamelody.internal.web.html.HtmlCounterRequestGraphReport,class,14,17,3,14,78,2,0,88,209,0.90909094,0.0,0.0,22,2,0,17,0,5,5,0,0,0,8,2,0,8,0,0,5,0,21,355,9,9,19,1,0,129,10,48,27,46,3,0,0,0,172,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\JdbcWrapper.java,net.bull.javamelody.JdbcWrapper$ConnectionManagerInvocationHandler,innerclass,2,2,0,2,3,2,0,3,1,1.0,0.0,0.0,2,0,1,0,0,1,2,0,0,0,1,1,0,1,0,0,1,0,0,13,2,0,0,0,0,0,1,2,0,2,1,0,0,0,20,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\test\java\net\bull\javamelody\internal\model\TestTomcatInformations.java,net.bull.javamelody.internal.model.TestTomcatInformations$GlobalRequestProcessor,innerclass,1,1,0,1,7,1,0,0,19,0.71428573,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,1,0,0,0,0,0,24,6,0,0,0,0,0,6,2,0,1,0,0,0,0,20,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\model\TransportFormat.java,net.bull.javamelody.internal.model.TransportFormat,enum,4,17,13,4,29,3,0,15,30,0.77777785,0.0,0.0,9,3,6,0,0,3,9,0,0,0,3,1,0,3,0,0,3,0,10,213,9,1,6,5,0,10,0,12,0,10,2,0,3,0,120,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\MonitoringSpringInterceptor.java,net.bull.javamelody.MonitoringSpringInterceptor,class,9,12,3,9,17,1,0,24,8,0.8,0.0,0.0,5,2,2,2,1,0,3,0,0,0,4,4,0,4,0,0,4,0,5,55,8,0,6,1,0,1,1,14,1,13,2,0,0,0,75,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\PrometheusCustomTag.java,net.bull.javamelody.PrometheusCustomTag,class,5,6,1,5,14,2,0,10,10,0.71875,0.0,0.0,8,0,7,1,0,0,7,0,0,0,4,1,0,4,0,0,1,0,0,50,4,1,4,1,0,5,1,6,0,5,2,0,1,0,39,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\test\java\net\bull\javamelody\TestMonitoringSpringInterceptor.java,net.bull.javamelody.TestMonitoringSpringInterceptor$AnnotatedTestController,innerclass,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\test\java\net\bull\javamelody\internal\web\html\TestHtmlThreadInformationsReport.java,net.bull.javamelody.internal.web.html.TestHtmlThreadInformationsReport,class,8,9,1,8,4,1,0,15,3,0.0,0.0,0.0,3,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,13,30,0,0,0,0,0,1,10,5,0,5,0,0,0,0,35,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\MonitoringGuiceInterceptor.java,net.bull.javamelody.MonitoringGuiceInterceptor,class,9,12,3,9,14,1,0,22,8,0.8,0.0,0.0,5,2,2,2,1,0,3,0,0,0,4,4,0,4,0,0,4,0,5,50,7,0,4,1,0,1,1,12,1,11,1,0,0,0,77,1,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\web\HtmlController.java,net.bull.javamelody.internal.web.HtmlController,class,32,34,2,32,59,1,0,80,0,0.8074075,0.0,0.0,27,2,1,2,0,24,25,0,0,0,10,4,0,9,0,1,9,0,38,257,6,0,9,9,1,21,1,44,4,39,2,0,0,0,159,1,6
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\model\TransportFormat.java,net.bull.javamelody.internal.model.TransportFormat$XmlIO,innerclass,8,8,0,8,7,1,0,19,8,0.70000005,0.0,0.0,5,4,0,2,0,3,3,0,0,0,2,2,0,2,0,0,2,0,4,58,2,1,0,3,0,7,2,10,2,9,1,1,0,0,47,26,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\JpaOverridePersistenceXmlClassLoader.java,net.bull.javamelody.JpaOverridePersistenceXmlClassLoader$ConstantURLConnection,innerclass,0,0,0,0,3,2,0,1,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,12,1,0,0,0,0,0,0,1,0,1,0,0,0,0,16,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\model\CounterStorage.java,net.bull.javamelody.internal.model.CounterStorage,class,6,12,6,6,26,2,0,29,27,0.7333333,0.0,0.0,10,6,1,3,0,6,7,0,0,0,3,2,0,3,0,0,2,0,11,127,14,1,5,4,0,3,8,22,2,20,2,1,1,0,114,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\publish\Graphite.java,net.bull.javamelody.internal.publish.Graphite,class,5,8,3,5,18,2,0,27,3,0.68831176,0.0,0.0,7,1,3,2,0,2,5,0,0,2,11,2,0,11,0,0,9,0,8,93,3,0,9,3,1,10,10,25,7,23,2,0,0,0,145,0,1
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\LogbackAppender.java,net.bull.javamelody.LogbackAppender,class,7,10,3,7,8,2,0,13,13,0.77777773,0.0,0.0,6,2,1,1,1,3,5,0,0,0,6,4,0,6,0,0,6,0,4,42,2,0,0,0,0,2,0,10,0,9,2,0,0,0,53,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\model\Period.java,net.bull.javamelody.internal.model.Period,enum,3,27,24,3,13,1,0,9,29,0.77272725,0.0,0.0,11,2,8,0,0,3,11,0,0,0,6,0,0,6,0,0,6,0,5,56,10,1,0,0,0,12,9,7,4,7,2,0,0,0,52,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\javamelody-master\javamelody-core\src\main\java\net\bull\javamelody\internal\web\pdf\PdfThreadInformationsReport.java,net.bull.javamelody.internal.web.pdf.PdfThreadInformationsReport,class,17,21,4,17,22,3,0,45,6,0.6875,0.0,0.0,8,0,0,4,0,4,4,0,0,0,6,0,0,6,0,0,6,0,17,113,2,3,3,0,0,17,12,22,4,18,2,0,0,0,77,0,0
