file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\view\PaperSize.java,com.structurizr.view.PaperSize$Orientation,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\DocumentationContent.java,com.structurizr.documentation.DocumentationContent,class,1,7,6,1,9,1,2,0,28,0.7777778,0.0,0.0,9,0,7,0,0,2,9,0,0,0,4,0,0,4,0,0,0,0,0,32,4,0,0,0,0,0,0,4,0,4,0,0,0,0,36,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\PersonTests.java,com.structurizr.model.PersonTests,class,7,7,0,7,8,2,0,25,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,35,3,14,0,14,0,0,0,0,59,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\ComponentTests.java,com.structurizr.model.ComponentTests,class,9,9,0,9,18,2,0,30,108,0.875,0.0,0.0,16,0,16,0,0,0,16,0,0,0,2,0,0,2,0,0,0,0,0,113,0,0,0,2,0,34,6,25,0,25,1,0,0,0,76,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\test\unit\com\structurizr\model\RelationshipTests.java,com.structurizr.model.RelationshipTests,class,8,8,0,8,14,2,0,19,0,0.0,0.0,0.0,14,0,14,0,0,0,14,0,0,0,1,0,0,1,0,0,0,0,0,81,0,0,0,0,0,43,0,15,0,15,0,0,0,0,65,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\view\ParallelSequenceCounter.java,com.structurizr.view.ParallelSequenceCounter,class,1,2,1,1,1,2,0,2,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\documentation\Image.java,com.structurizr.documentation.Image,class,0,1,1,0,8,1,0,0,10,0.625,0.0,0.0,8,0,4,0,0,4,8,0,0,0,3,0,0,3,0,0,0,0,0,30,3,0,0,0,0,0,0,6,0,3,0,0,0,0,17,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\model\CanonicalNameGenerator.java,com.structurizr.model.CanonicalNameGenerator,class,16,27,11,16,14,1,0,22,38,0.84722215,0.0,0.0,12,0,0,2,0,10,10,0,0,0,12,12,0,12,0,0,12,0,1,70,13,1,1,0,0,23,0,20,11,18,1,0,0,0,52,16,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\model\SoftwareSystemInstance.java,com.structurizr.model.SoftwareSystemInstance,class,7,20,13,7,9,5,0,5,14,0.625,0.0,0.0,8,0,4,0,0,4,8,0,0,0,2,0,0,2,0,0,0,0,0,34,5,0,1,0,0,0,0,2,0,2,1,0,0,0,38,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\structure\java-master\structurizr-core\src\com\structurizr\util\Url.java,com.structurizr.util.Url,class,0,7,7,0,4,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,3,0,1,1,0,0,1,0,0,0,2,0,0,0,26,1,0
