file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\internal\DefaultGitHubConnector.java,org.kohsuke.github.internal.DefaultGitHubConnector,class,7,11,4,7,9,1,0,4,3,0.0,0.0,0.0,3,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,33,7,0,0,1,0,8,0,1,0,1,2,0,0,0,72,17,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHCommitSearchBuilder.java,org.kohsuke.github.GHCommitSearchBuilder$CommitSearchResult,innerclass,5,5,0,5,3,2,0,3,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,15,1,1,0,1,0,0,0,2,0,3,2,0,0,0,20,10,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\Reactable.java,org.kohsuke.github.Reactable,interface,4,8,4,4,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHDiscussion.java,org.kohsuke.github.GHDiscussion,class,18,25,7,18,22,7,0,16,50,0.7941176,0.0,0.0,17,4,12,1,0,4,16,0,0,0,4,0,0,4,0,0,0,0,9,86,18,0,5,0,1,7,0,2,2,8,1,0,3,1,85,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHCommit.java,org.kohsuke.github.GHCommit$File,innerclass,2,2,0,2,10,1,0,1,45,0.9,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,0,0,4,0,0,2,36,10,0,0,0,0,4,0,0,0,10,0,0,0,0,76,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHCommentAuthorAssociation.java,org.kohsuke.github.GHCommentAuthorAssociation,enum,0,4,4,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHVerification.java,org.kohsuke.github.GHVerification$Reason,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHRepositoryPublicKey.java,org.kohsuke.github.GHRepositoryPublicKey,class,4,7,3,4,4,1,0,0,6,0.75,0.0,0.0,4,0,3,0,0,1,4,0,0,0,3,0,0,3,0,0,0,0,0,18,4,0,0,0,0,0,0,1,0,3,0,0,0,0,27,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\extras\okhttp3\ObsoleteUrlFactory.java,org.kohsuke.github.extras.okhttp3.ObsoleteUrlFactory$ResponseBodyInputStream,innerclass,2,2,0,2,10,2,0,11,0,0.4,0.0,0.0,10,0,9,1,0,0,9,0,0,2,2,0,0,2,0,0,2,0,0,40,6,0,0,1,0,0,0,2,0,2,1,0,0,0,31,26,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\github-api-main\src\main\java\org\kohsuke\github\GHDeploymentStatus.java,org.kohsuke.github.GHDeploymentStatus,class,7,14,7,7,10,1,0,3,39,0.90000004,0.0,0.0,10,0,8,0,0,2,10,0,0,0,9,0,0,1,8,0,0,0,6,42,9,0,0,0,0,1,0,1,0,9,0,0,0,0,62,1,0
