file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\others\TestFieldInit2.java,jadx.tests.integration.others.TestFieldInit2$TestCls$Anonymous1,anonymous,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\main\java\jadx\core\dex\visitors\usage\UsageInfoVisitor.java,jadx.core.dex.visitors.usage.UsageInfoVisitor,class,22,27,5,22,25,2,0,44,15,0.0,0.0,0.0,6,5,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,109,3,5,7,2,1,4,1,15,1,15,3,0,0,1,54,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\names\TestDuplicateVarNames.java,jadx.tests.integration.names.TestDuplicateVarNames$TestCls$A,innerclass,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,6,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\conditions\TestTernary3.java,jadx.tests.integration.conditions.TestTernary3,class,5,5,0,5,1,3,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0,0,3,0,2,0,2,0,0,1,0,19,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\loops\TestLoopDetection4.java,jadx.tests.integration.loops.TestLoopDetection4$TestCls$SomeCls,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\conditions\TestTernary4.java,jadx.tests.integration.conditions.TestTernary4,class,5,5,0,5,1,4,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,10,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\names\pkg\b.java,jadx.tests.integration.names.pkg.b,class,1,2,1,1,0,1,0,1,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,5,0,0,0,0,0,1,0,1,0,1,0,0,1,0,2,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\conditions\TestTernary2.java,jadx.tests.integration.conditions.TestTernary2,class,6,6,0,6,2,3,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0,0,2,1,4,0,4,0,0,1,0,14,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\generics\TestGenericFields.java,jadx.tests.integration.generics.TestGenericFields$TestCls$Amount,innerclass,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\jadx-master\jadx-core\src\test\java\jadx\tests\integration\invoke\TestCastInOverloadedInvoke.java,jadx.tests.integration.invoke.TestCastInOverloadedInvoke$TestCls,innerclass,1,1,0,1,8,1,0,8,9,0.42857143,0.0,0.0,7,0,7,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,0,36,0,0,0,0,0,1,10,6,1,1,1,0,0,0,15,9,0
