file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\common\parser\RequestMarshallersTest.java,com.aliyun.oss.common.parser.RequestMarshallersTest,class,36,36,0,36,118,1,0,79,528,0.0,0.0,0.0,33,0,33,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,1185,0,0,0,43,0,372,8,491,0,363,1,0,0,0,158,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\ListBucketInventoryConfigurationsRequest.java,com.aliyun.oss.model.ListBucketInventoryConfigurationsRequest,class,2,7,5,2,5,3,0,1,0,0.2,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,1,0,0,0,0,0,20,2,0,0,0,0,0,0,2,0,1,0,0,0,0,41,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\ListObjectsV2Request.java,com.aliyun.oss.model.ListObjectsV2Request,class,2,6,4,2,26,3,0,8,233,0.84065926,0.0,0.0,26,0,26,0,0,0,26,0,0,0,7,0,0,7,0,0,0,0,0,102,15,0,0,0,0,0,0,15,0,7,0,0,0,0,192,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\common\parser\RequestMarshallers.java,com.aliyun.oss.common.parser.RequestMarshallers$InitiateBucketWormRequestMarshaller,innerclass,4,4,0,4,2,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,1,0,5,0,3,2,2,1,0,0,0,39,25,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\ResponseParsers.java,com.aliyun.oss.internal.ResponseParsers$GetSymbolicLinkResponseParser,innerclass,6,6,0,6,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,1,0,0,0,1,0,1,1,0,0,0,14,25,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\OSSClientRequestTest.java,com.aliyun.oss.OSSClientRequestTest$Anonymous20,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\OSSClientRequestTest.java,com.aliyun.oss.OSSClientRequestTest$Anonymous21,anonymous,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,1,0,0,0,0,0,7,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\internal\ResponseParsers.java,com.aliyun.oss.internal.ResponseParsers$GetBucketWormResponseParser,innerclass,7,7,0,7,1,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,1,0,0,0,1,0,1,1,0,0,0,15,25,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\main\java\com\aliyun\oss\model\ProcessObjectRequest.java,com.aliyun.oss.model.ProcessObjectRequest,class,1,5,4,1,3,3,0,0,3,0.6666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,13,1,0,0,0,0,0,0,2,0,1,0,0,0,0,7,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\aliyun-oss-java-sdk-master\src\test\java\com\aliyun\oss\common\utils\CodingUtilTest.java,com.aliyun.oss.common.utils.CodingUtilTest,class,1,1,0,1,3,1,0,5,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,2,0,3,36,1,0,1,1,0,0,0,13,1,0
