file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\TermsAggregation.java,io.searchbox.core.search.aggregation.TermsAggregation,class,6,12,6,6,16,6,0,14,0,0.57142854,0.0,0.0,7,0,6,1,0,0,6,0,0,0,4,1,1,3,0,0,1,0,17,88,8,1,3,0,0,1,0,6,0,6,2,0,1,0,54,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\client\JestResultHandler.java,io.searchbox.client.JestResultHandler,interface,1,3,2,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\cluster\NodesStatsTest.java,io.searchbox.cluster.NodesStatsTest,class,5,5,0,5,2,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,3,0,2,0,2,0,0,0,0,19,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\snapshot\SnapshotStatus.java,io.searchbox.snapshot.SnapshotStatus$Builder,innerclass,3,3,0,3,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\snapshot\CreateSnapshotRepositoryTest.java,io.searchbox.snapshot.CreateSnapshotRepositoryTest,class,5,5,0,5,2,1,0,8,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,23,0,0,0,0,0,27,0,6,2,6,0,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\client\AbstractJestClientTest.java,io.searchbox.client.AbstractJestClientTest$Anonymous1,anonymous,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\indices\script\DeleteStoredScript.java,io.searchbox.indices.script.DeleteStoredScript$Builder,innerclass,3,3,0,3,2,3,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\test\java\io\searchbox\client\AbstractJestClientTest.java,io.searchbox.client.AbstractJestClientTest$Anonymous2,anonymous,1,1,0,1,4,1,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,1,1,0,4,0,1,2,1,2,0,0,0,13,-1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\snapshot\AbstractSnapshotRepositoryAction.java,io.searchbox.snapshot.AbstractSnapshotRepositoryAction,class,4,7,3,4,2,6,3,2,0,0.0,0.0,0.0,2,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,0,22,1,0,0,0,0,1,0,1,1,1,0,0,2,0,18,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\indices\IndicesExists.java,io.searchbox.indices.IndicesExists$Builder,innerclass,3,3,0,3,3,3,0,2,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\MissingAggregation.java,io.searchbox.core.search.aggregation.MissingAggregation,class,3,5,2,3,7,3,0,8,0,0.5,0.0,0.0,4,0,4,0,0,0,4,0,0,0,2,1,1,1,0,0,1,0,3,27,6,0,3,0,0,1,0,3,0,3,1,0,0,0,28,1,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\indices\Flush.java,io.searchbox.indices.Flush$Builder,innerclass,4,4,0,4,5,3,0,3,10,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,5,0,0,0,0,2,0,0,0,0,0,0,0,0,10,9,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\Bucket.java,io.searchbox.core.search.aggregation.Bucket,class,3,21,18,3,8,3,14,5,0,0.0,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,2,29,6,0,3,0,0,1,0,2,0,2,1,0,0,0,19,1025,0
D:\Others\assignment\FADI_WEDYAN_OOPS\Assignment-2\2\Jest-master\jest-common\src\main\java\io\searchbox\core\search\aggregation\AggregationField.java,io.searchbox.core.search.aggregation.AggregationField,enum,1,3,2,1,3,1,0,2,1,0.33333334,0.0,0.0,3,0,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,0,11,2,0,0,0,0,29,0,1,0,1,0,0,0,0,33,1,0
